,ABB.ST.csv_AdjClose,ABB.ST.csv_Volume,ALFA.ST.csv_AdjClose,ALFA.ST.csv_Volume,ALIV-SDB.ST.csv_AdjClose,ALIV-SDB.ST.csv_Volume,ASSA-B.ST.csv_AdjClose,ASSA-B.ST.csv_Volume,ATCO-A.ST.csv_AdjClose,ATCO-A.ST.csv_Volume,ATCO-B.ST.csv_AdjClose,ATCO-B.ST.csv_Volume,AZN.ST.csv_AdjClose,AZN.ST.csv_Volume,BOL.ST.csv_AdjClose,BOL.ST.csv_Volume,ELUX-B.ST.csv_AdjClose,ELUX-B.ST.csv_Volume,ERIC-B.ST.csv_AdjClose,ERIC-B.ST.csv_Volume,ESSITY-B.ST.csv_AdjClose,ESSITY-B.ST.csv_Volume,GETI-B.ST.csv_AdjClose,GETI-B.ST.csv_Volume,HEXA-B.ST.csv_AdjClose,HEXA-B.ST.csv_Volume,HM-B.ST.csv_AdjClose,HM-B.ST.csv_Volume,INVE-B.ST.csv_AdjClose,INVE-B.ST.csv_Volume,KINV-B.ST.csv_AdjClose,KINV-B.ST.csv_Volume,SAND.ST.csv_AdjClose,SAND.ST.csv_Volume,SCA-B.ST.csv_AdjClose,SCA-B.ST.csv_Volume,SEB-A.ST.csv_AdjClose,SEB-A.ST.csv_Volume,SECU-B.ST.csv_AdjClose,SECU-B.ST.csv_Volume,SHB-A.ST.csv_AdjClose,SHB-A.ST.csv_Volume,SKA-B.ST.csv_AdjClose,SKA-B.ST.csv_Volume,SKF-B.ST.csv_AdjClose,SKF-B.ST.csv_Volume,SSAB-A.ST.csv_AdjClose,SSAB-A.ST.csv_Volume,SWED-A.ST.csv_AdjClose,SWED-A.ST.csv_Volume,SWMA.ST.csv_AdjClose,SWMA.ST.csv_Volume,TEL2-B.ST.csv_AdjClose,TEL2-B.ST.csv_Volume,TELIA.ST.csv_AdjClose,TELIA.ST.csv_Volume,VOLV-B.ST.csv_AdjClose,VOLV-B.ST.csv_Volume,OMXS30_Close
0,219.321228,1219290,189.212067,1367845,1035.550781,183443,166.722031,2924607,261.809631,2121360,227.840775,870705,568.977295,452618,274.675873,1728242,246.166122,1005170,52.668625,8981663,221.24295,936482,114.609451,1013638,408.492279,295999,158.409622,6896756,362.485596,835624,255.821075,678546,140.861038,3572777,81.829811,3162354,84.6968,4955790,139.171387,1155561,101.525345,4688236,146.491867,1818643,169.002441,1408422,43.274601,3918115,167.236664,3183396,305.080139,374764,98.16568,2282781,33.746223,7586832,145.516785,5738651,1579.819946
1,219.719635,1426082,191.173828,926293,1048.009277,124672,167.458649,2537287,264.775116,1588677,230.383698,718692,573.950867,391973,274.96051,1628804,243.611755,955226,52.95961,6994043,226.485672,1620020,114.609451,761517,413.181885,400125,157.584381,6101081,367.431244,935328,260.530548,727268,143.694885,2873430,82.060699,13344624,84.802208,5220300,139.171387,931132,100.354256,3714098,145.706635,1581626,173.14946,1946400,44.11187,4083754,165.974808,2424883,305.747528,500995,98.406868,1441802,33.81049,8456950,147.913864,4373407,1587.560059
2,221.910858,1107000,194.803116,1125532,1057.477783,164829,168.9319,2397358,270.185944,4040325,235.398697,2179680,572.956177,398320,275.245148,1249165,245.882294,1660879,53.153603,9498331,227.724854,1333954,114.170525,983544,415.177429,468763,155.089905,9124479,376.449768,1464898,265.240967,839006,146.040115,3905115,82.079933,3099419,86.225243,6462770,139.609024,1036933,102.065865,4295532,147.233505,2694929,174.500732,1970965,44.064835,2983732,167.489029,2847575,306.414856,482001,98.599823,1855893,34.067532,16808401,148.900894,4707102,1603.670044
3,222.408859,463393,196.127289,486400,1068.939575,131129,169.815842,1322186,273.521637,1407824,237.724136,438646,576.636658,174732,276.573456,489773,249.855789,432106,53.793774,6175589,226.10437,817513,116.121323,383918,425.055481,358637,152.764191,6476815,378.195251,484651,268.288208,451744,147.359329,2070309,82.387787,1472439,86.892838,3031849,141.26236,660012,102.876617,1762385,148.018738,721737,175.619019,810646,43.453346,1843375,168.24614,1735577,308.130951,199408,99.757553,1177962,34.471458,5432514,150.216934,2910478,1611.310059
4,225.297287,1351476,197.451492,881220,1078.90625,270272,169.226547,2924276,278.48819,3117728,242.230347,1078893,576.636658,317318,279.41983,1321672,247.963638,887720,53.832573,9013865,227.629532,1712763,115.731163,880576,429.545502,572910,152.914246,7094767,381.686279,1393375,270.782043,1339215,149.362549,4352744,83.561455,2849958,87.226639,6476124,142.380783,1113309,103.642342,5284168,148.585861,1296416,175.94519,1565601,43.839054,4526657,168.24614,3736574,308.035614,626230,99.612839,2258886,34.599979,13290580,149.276901,4735177,1619.130005
5,225.695694,1363804,199.609421,1133782,1087.378296,225714,173.597168,4462815,278.932434,3081952,242.52066,1535517,580.714905,289916,284.448456,2229826,253.640015,1198834,54.336952,7413264,224.388565,1455475,115.292229,1248342,427.450165,550810,149.782059,10208672,382.268158,999311,267.642365,1034761,149.460266,4248216,85.408539,3551562,89.115227,6648479,143.790985,1319368,105.804367,6052376,151.421478,2227095,176.411148,2587204,44.977367,4413615,172.452286,4177313,308.226257,626291,101.349434,2174866,35.325211,17295353,149.370911,5855492,1632.290039
6,224.201691,937751,199.70752,1010590,1082.394775,230138,172.123917,3156013,278.414124,2080266,241.721558,876819,572.856689,574721,284.543335,1413540,250.991043,1016792,53.63858,9031509,223.721313,1729996,114.609451,889431,421.862549,556607,150.794876,6952678,382.268158,901555,265.980164,936480,149.069397,4823700,84.696648,4319913,89.77404,6621845,143.888229,1506909,106.570091,5003608,152.337601,1577768,174.733719,1458882,45.137291,3688188,172.536423,3367988,308.512299,571972,93.718071,17022754,34.866203,15924964,149.511917,4740561,1629.290039
7,223.703674,849063,200.099869,911294,1084.886353,173507,171.338196,2761952,279.525726,2210294,242.593491,803942,571.464111,246809,283.309906,1028367,249.288147,771571,54.201157,8253747,227.724854,1635127,114.902069,754372,446.108704,2141781,149.463226,7219872,382.462097,813806,266.348785,984799,150.681747,4780149,83.965508,3332865,89.422676,5065749,143.061569,1013759,105.624199,6602910,150.723465,1287614,175.479233,1643932,45.221962,2951695,172.87291,3276507,309.08432,504599,93.679482,8579817,34.655064,12752585,149.276901,4640316,1630.290039
8,225.197693,934767,202.159729,1126958,1094.35498,259807,173.449844,2920431,279.969971,1755761,243.46637,688693,573.354004,332142,282.361115,1064621,251.65329,795515,54.783131,11826047,225.246475,1439024,114.560677,558370,452.19516,916073,150.382233,6620635,380.425629,864856,265.702972,497618,150.486313,3847148,83.23436,4200911,89.115227,4467612,142.186279,1381088,104.903519,3283303,151.421478,1319690,176.131577,1257775,45.513592,2751815,171.863434,2580146,306.414856,712539,93.139206,4474508,34.590801,7727063,148.759888,4499834,1628.400024
9,223.703674,920120,203.238678,914705,1080.401367,294867,174.235565,2423111,280.859436,1989721,243.611038,904875,572.558228,265313,279.799377,959741,250.328812,858433,54.666737,4496497,227.53421,1016508,114.658218,509897,457.9823,1857506,150.457275,5389223,381.104462,721263,265.425751,426368,152.098648,5002664,83.927025,2098329,88.676018,4596394,142.08902,920478,103.957634,3996400,151.421478,1017398,179.626251,2463242,45.475964,1795336,167.909653,5926454,308.321625,384060,93.718071,3825311,34.499001,6955998,150.263947,4401645,1627.290039
