,ABB.ST.csv_Date,ABB.ST.csv_Close,ABB.ST.csv_AdjClose,ABB.ST.csv_Volume,ALFA.ST.csv_Date,ALFA.ST.csv_Close,ALFA.ST.csv_AdjClose,ALFA.ST.csv_Volume,ALIV-SDB.ST.csv_Date,ALIV-SDB.ST.csv_Close,ALIV-SDB.ST.csv_AdjClose,ALIV-SDB.ST.csv_Volume,ASSA-B.ST.csv_Date,ASSA-B.ST.csv_Close,ASSA-B.ST.csv_AdjClose,ASSA-B.ST.csv_Volume,ATCO-A.ST.csv_Date,ATCO-A.ST.csv_Close,ATCO-A.ST.csv_AdjClose,ATCO-A.ST.csv_Volume,ATCO-B.ST.csv_Date,ATCO-B.ST.csv_Close,ATCO-B.ST.csv_AdjClose,ATCO-B.ST.csv_Volume,AZN.ST.csv_Date,AZN.ST.csv_Close,AZN.ST.csv_AdjClose,AZN.ST.csv_Volume,BOL.ST.csv_Date,BOL.ST.csv_Close,BOL.ST.csv_AdjClose,BOL.ST.csv_Volume,ELUX-B.ST.csv_Date,ELUX-B.ST.csv_Close,ELUX-B.ST.csv_AdjClose,ELUX-B.ST.csv_Volume,ERIC-B.ST.csv_Date,ERIC-B.ST.csv_Close,ERIC-B.ST.csv_AdjClose,ERIC-B.ST.csv_Volume,ESSITY-B.ST.csv_Date,ESSITY-B.ST.csv_Close,ESSITY-B.ST.csv_AdjClose,ESSITY-B.ST.csv_Volume,GETI-B.ST.csv_Date,GETI-B.ST.csv_Close,GETI-B.ST.csv_AdjClose,GETI-B.ST.csv_Volume,HEXA-B.ST.csv_Date,HEXA-B.ST.csv_Close,HEXA-B.ST.csv_AdjClose,HEXA-B.ST.csv_Volume,HM-B.ST.csv_Date,HM-B.ST.csv_Close,HM-B.ST.csv_AdjClose,HM-B.ST.csv_Volume,INVE-B.ST.csv_Date,INVE-B.ST.csv_Close,INVE-B.ST.csv_AdjClose,INVE-B.ST.csv_Volume,KINV-B.ST.csv_Date,KINV-B.ST.csv_Close,KINV-B.ST.csv_AdjClose,KINV-B.ST.csv_Volume,SAND.ST.csv_Date,SAND.ST.csv_Close,SAND.ST.csv_AdjClose,SAND.ST.csv_Volume,SCA-B.ST.csv_Date,SCA-B.ST.csv_Close,SCA-B.ST.csv_AdjClose,SCA-B.ST.csv_Volume,SEB-A.ST.csv_Date,SEB-A.ST.csv_Close,SEB-A.ST.csv_AdjClose,SEB-A.ST.csv_Volume,SECU-B.ST.csv_Date,SECU-B.ST.csv_Close,SECU-B.ST.csv_AdjClose,SECU-B.ST.csv_Volume,SHB-A.ST.csv_Date,SHB-A.ST.csv_Close,SHB-A.ST.csv_AdjClose,SHB-A.ST.csv_Volume,SKA-B.ST.csv_Date,SKA-B.ST.csv_Close,SKA-B.ST.csv_AdjClose,SKA-B.ST.csv_Volume,SKF-B.ST.csv_Date,SKF-B.ST.csv_Close,SKF-B.ST.csv_AdjClose,SKF-B.ST.csv_Volume,SSAB-A.ST.csv_Date,SSAB-A.ST.csv_Close,SSAB-A.ST.csv_AdjClose,SSAB-A.ST.csv_Volume,SWED-A.ST.csv_Date,SWED-A.ST.csv_Close,SWED-A.ST.csv_AdjClose,SWED-A.ST.csv_Volume,SWMA.ST.csv_Date,SWMA.ST.csv_Close,SWMA.ST.csv_AdjClose,SWMA.ST.csv_Volume,TEL2-B.ST.csv_Date,TEL2-B.ST.csv_Close,TEL2-B.ST.csv_AdjClose,TEL2-B.ST.csv_Volume,TELIA.ST.csv_Date,TELIA.ST.csv_Close,TELIA.ST.csv_AdjClose,TELIA.ST.csv_Volume,VOLV-B.ST.csv_Date,VOLV-B.ST.csv_Close,VOLV-B.ST.csv_AdjClose,VOLV-B.ST.csv_Volume
0,2018-01-02,220.19999700000002,219.321228,1219290,2018-01-02,192.899994,189.212067,1367845,2018-01-02,1039.0,1035.5507810000001,183443,2018-01-02,169.75,166.72203100000002,2924607,2018-01-02,268.739014,261.809631,2121360,2018-01-02,234.65600600000002,227.840775,870705,2018-01-02,572.0,568.977295,452618,2018-01-02,289.5,274.675873,1728242,2018-01-02,260.200012,246.16612200000003,1005170,2018-01-02,54.299999,52.668625,8981663,2018-01-02,232.100006,221.24295,936482,2018-01-02,117.5,114.609451,1013638,2018-01-02,409.399994,408.492279,295999,2018-01-02,168.919998,158.40962199999998,6896756,2018-01-02,373.799988,362.485596,835624,2018-01-02,263.02099599999997,255.821075,678546,2018-01-02,144.149994,140.86103799999998,3572777,2018-01-02,85.059998,81.82981099999999,3162354,2018-01-02,96.41999799999999,84.6968,4955790,2018-01-02,143.100006,139.171387,1155561,2018-01-02,112.699997,101.525345,4688236,2018-01-02,167.899994,146.49186699999998,1818643,2018-01-02,181.350006,169.002441,1408422,2018-01-02,46.0,43.274601000000004,3918115,2018-01-02,198.800003,167.236664,3183396,2018-01-02,320.0,305.08013900000003,374764,2018-01-02,101.75,98.16568000000001,2282781,2018-01-02,36.759997999999996,33.746223,7586832,2018-01-02,154.800003,145.516785,5738651
1,2018-01-03,220.600006,219.719635,1426082,2018-01-03,194.899994,191.17382800000001,926293,2018-01-03,1051.5,1048.0092769999999,124672,2018-01-03,170.5,167.458649,2537287,2018-01-03,271.78299,264.775116,1588677,2018-01-03,237.274994,230.383698,718692,2018-01-03,577.0,573.950867,391973,2018-01-03,289.799988,274.96051,1628804,2018-01-03,257.5,243.611755,955226,2018-01-03,54.599998,52.95961,6994043,2018-01-03,237.600006,226.48567200000002,1620020,2018-01-03,117.5,114.609451,761517,2018-01-03,414.100006,413.181885,400125,2018-01-03,168.03999299999998,157.584381,6101081,2018-01-03,378.899994,367.431244,935328,2018-01-03,267.863007,260.530548,727268,2018-01-03,147.050003,143.694885,2873430,2018-01-03,85.300003,82.060699,13344624,2018-01-03,96.540001,84.802208,5220300,2018-01-03,143.100006,139.171387,931132,2018-01-03,111.400002,100.354256,3714098,2018-01-03,167.0,145.706635,1581626,2018-01-03,185.800003,173.14946,1946400,2018-01-03,46.889998999999996,44.11187,4083754,2018-01-03,197.300003,165.974808,2424883,2018-01-03,320.700012,305.747528,500995,2018-01-03,102.0,98.406868,1441802,2018-01-03,36.830002,33.81049,8456950,2018-01-03,157.350006,147.913864,4373407
2,2018-01-04,222.80000299999998,221.91085800000002,1107000,2018-01-04,198.600006,194.803116,1125532,2018-01-04,1061.0,1057.477783,164829,2018-01-04,172.0,168.9319,2397358,2018-01-04,277.33700600000003,270.185944,4040325,2018-01-04,242.440002,235.39869700000003,2179680,2018-01-04,576.0,572.9561769999999,398320,2018-01-04,290.100006,275.245148,1249165,2018-01-04,259.899994,245.882294,1660879,2018-01-04,54.799999,53.153603000000004,9498331,2018-01-04,238.899994,227.724854,1333954,2018-01-04,117.050003,114.170525,983544,2018-01-04,416.100006,415.177429,468763,2018-01-04,165.380005,155.08990500000002,9124479,2018-01-04,388.200012,376.449768,1464898,2018-01-04,272.705994,265.240967,839006,2018-01-04,149.449997,146.040115,3905115,2018-01-04,85.32,82.079933,3099419,2018-01-04,98.160004,86.225243,6462770,2018-01-04,143.550003,139.609024,1036933,2018-01-04,113.300003,102.065865,4295532,2018-01-04,168.75,147.233505,2694929,2018-01-04,187.25,174.500732,1970965,2018-01-04,46.84,44.064834999999995,2983732,2018-01-04,199.100006,167.48902900000002,2847575,2018-01-04,321.399994,306.414856,482001,2018-01-04,102.199997,98.599823,1855893,2018-01-04,37.110001000000004,34.067532,16808401,2018-01-04,158.399994,148.900894,4707102
3,2018-01-05,223.30000299999998,222.40885899999998,463393,2018-01-05,199.949997,196.127289,486400,2018-01-05,1072.5,1068.939575,131129,2018-01-05,172.899994,169.815842,1322186,2018-01-05,280.760986,273.521637,1407824,2018-01-05,244.835007,237.724136,438646,2018-01-05,579.700012,576.636658,174732,2018-01-05,291.5,276.573456,489773,2018-01-05,264.100006,249.85578900000002,432106,2018-01-05,55.459998999999996,53.793774,6175589,2018-01-05,237.19999700000002,226.10437000000002,817513,2018-01-05,119.050003,116.121323,383918,2018-01-05,426.0,425.055481,358637,2018-01-05,162.899994,152.76419099999998,6476815,2018-01-05,390.0,378.195251,484651,2018-01-05,275.838989,268.288208,451744,2018-01-05,150.800003,147.359329,2070309,2018-01-05,85.639999,82.387787,1472439,2018-01-05,98.91999799999999,86.892838,3031849,2018-01-05,145.25,141.26236,660012,2018-01-05,114.199997,102.87661700000001,1762385,2018-01-05,169.649994,148.01873799999998,721737,2018-01-05,188.449997,175.61901899999998,810646,2018-01-05,46.189999,43.453346,1843375,2018-01-05,200.0,168.24614,1735577,2018-01-05,323.200012,308.130951,199408,2018-01-05,103.400002,99.757553,1177962,2018-01-05,37.549999,34.471458,5432514,2018-01-05,159.800003,150.216934,2910478
4,2018-01-08,226.19999700000002,225.297287,1351476,2018-01-08,201.300003,197.451492,881220,2018-01-08,1082.5,1078.90625,270272,2018-01-08,172.300003,169.226547,2924276,2018-01-08,285.85900899999996,278.48819,3117728,2018-01-08,249.475998,242.23034700000002,1078893,2018-01-08,579.700012,576.636658,317318,2018-01-08,294.5,279.41983,1321672,2018-01-08,262.100006,247.96363799999997,887720,2018-01-08,55.5,53.832573,9013865,2018-01-08,238.80000299999998,227.62953199999998,1712763,2018-01-08,118.650002,115.731163,880576,2018-01-08,430.5,429.54550199999994,572910,2018-01-08,163.059998,152.914246,7094767,2018-01-08,393.600006,381.686279,1393375,2018-01-08,278.403015,270.78204300000004,1339215,2018-01-08,152.850006,149.362549,4352744,2018-01-08,86.860001,83.56145500000001,2849958,2018-01-08,99.300003,87.226639,6476124,2018-01-08,146.399994,142.380783,1113309,2018-01-08,115.050003,103.642342,5284168,2018-01-08,170.300003,148.58586100000002,1296416,2018-01-08,188.800003,175.94519,1565601,2018-01-08,46.599998,43.839054,4526657,2018-01-08,200.0,168.24614,3736574,2018-01-08,323.100006,308.035614,626230,2018-01-08,103.25,99.61283900000001,2258886,2018-01-08,37.689999,34.599979,13290580,2018-01-08,158.800003,149.276901,4735177
5,2018-01-09,226.600006,225.695694,1363804,2018-01-09,203.5,199.609421,1133782,2018-01-09,1091.0,1087.378296,225714,2018-01-09,176.75,173.59716799999998,4462815,2018-01-09,286.315002,278.932434,3081952,2018-01-09,249.774994,242.52066000000002,1535517,2018-01-09,583.799988,580.7149049999999,289916,2018-01-09,299.799988,284.448456,2229826,2018-01-09,268.100006,253.64001499999998,1198834,2018-01-09,56.02,54.336952000000004,7413264,2018-01-09,235.399994,224.388565,1455475,2018-01-09,118.199997,115.292229,1248342,2018-01-09,428.39999400000005,427.450165,550810,2018-01-09,159.720001,149.782059,10208672,2018-01-09,394.200012,382.268158,999311,2018-01-09,275.174988,267.642365,1034761,2018-01-09,152.949997,149.460266,4248216,2018-01-09,88.779999,85.408539,3551562,2018-01-09,101.449997,89.115227,6648479,2018-01-09,147.850006,143.790985,1319368,2018-01-09,117.449997,105.804367,6052376,2018-01-09,173.550003,151.421478,2227095,2018-01-09,189.300003,176.411148,2587204,2018-01-09,47.810001,44.977367,4413615,2018-01-09,205.0,172.45228600000002,4177313,2018-01-09,323.299988,308.226257,626291,2018-01-09,105.050003,101.349434,2174866,2018-01-09,38.48,35.325210999999996,17295353,2018-01-09,158.899994,149.370911,5855492
6,2018-01-10,225.100006,224.201691,937751,2018-01-10,203.600006,199.70752,1010590,2018-01-10,1086.0,1082.394775,230138,2018-01-10,175.25,172.123917,3156013,2018-01-10,285.78299,278.414124,2080266,2018-01-10,248.951996,241.72155800000002,876819,2018-01-10,575.900024,572.856689,574721,2018-01-10,299.899994,284.543335,1413540,2018-01-10,265.299988,250.99104300000002,1016792,2018-01-10,55.299999,53.638580000000005,9031509,2018-01-10,234.69999700000002,223.72131299999998,1729996,2018-01-10,117.5,114.609451,889431,2018-01-10,422.799988,421.862549,556607,2018-01-10,160.800003,150.794876,6952678,2018-01-10,394.200012,382.268158,901555,2018-01-10,273.466003,265.980164,936480,2018-01-10,152.550003,149.069397,4823700,2018-01-10,88.040001,84.696648,4319913,2018-01-10,102.199997,89.77404,6621845,2018-01-10,147.949997,143.888229,1506909,2018-01-10,118.300003,106.57009099999999,5003608,2018-01-10,174.600006,152.337601,1577768,2018-01-10,187.5,174.733719,1458882,2018-01-10,47.98,45.137291,3688188,2018-01-10,205.100006,172.53642299999998,3367988,2018-01-10,323.600006,308.51229900000004,571972,2018-01-10,97.139999,93.718071,17022754,2018-01-10,37.98,34.866203000000006,15924964,2018-01-10,159.050003,149.51191699999998,4740561
7,2018-01-11,224.600006,223.70367400000003,849063,2018-01-11,204.0,200.09986899999998,911294,2018-01-11,1088.5,1084.8863529999999,173507,2018-01-11,174.449997,171.33819599999998,2761952,2018-01-11,286.924011,279.52572599999996,2210294,2018-01-11,249.850006,242.59349100000003,803942,2018-01-11,574.5,571.464111,246809,2018-01-11,298.600006,283.309906,1028367,2018-01-11,263.5,249.288147,771571,2018-01-11,55.880001,54.201156999999995,8253747,2018-01-11,238.899994,227.724854,1635127,2018-01-11,117.800003,114.902069,754372,2018-01-11,447.10000599999995,446.108704,2141781,2018-01-11,159.380005,149.463226,7219872,2018-01-11,394.399994,382.462097,813806,2018-01-11,273.84500099999997,266.348785,984799,2018-01-11,154.199997,150.681747,4780149,2018-01-11,87.279999,83.965508,3332865,2018-01-11,101.800003,89.422676,5065749,2018-01-11,147.100006,143.061569,1013759,2018-01-11,117.25,105.624199,6602910,2018-01-11,172.75,150.723465,1287614,2018-01-11,188.300003,175.479233,1643932,2018-01-11,48.07,45.221962,2951695,2018-01-11,205.5,172.87291000000002,3276507,2018-01-11,324.200012,309.08432,504599,2018-01-11,97.099998,93.679482,8579817,2018-01-11,37.75,34.655064,12752585,2018-01-11,158.800003,149.276901,4640316
8,2018-01-12,226.100006,225.19769300000002,934767,2018-01-12,206.100006,202.159729,1126958,2018-01-12,1098.0,1094.35498,259807,2018-01-12,176.600006,173.44984399999998,2920431,2018-01-12,287.380005,279.969971,1755761,2018-01-12,250.748993,243.46637,688693,2018-01-12,576.400024,573.354004,332142,2018-01-12,297.600006,282.361115,1064621,2018-01-12,266.0,251.65329,795515,2018-01-12,56.48,54.783131000000004,11826047,2018-01-12,236.30000299999998,225.246475,1439024,2018-01-12,117.449997,114.560677,558370,2018-01-12,453.200012,452.19516,916073,2018-01-12,160.360001,150.382233,6620635,2018-01-12,392.299988,380.425629,864856,2018-01-12,273.181,265.70297200000005,497618,2018-01-12,154.0,150.486313,3847148,2018-01-12,86.519997,83.23436,4200911,2018-01-12,101.449997,89.115227,4467612,2018-01-12,146.199997,142.186279,1381088,2018-01-12,116.449997,104.90351899999999,3283303,2018-01-12,173.550003,151.421478,1319690,2018-01-12,189.0,176.131577,1257775,2018-01-12,48.380001,45.513591999999996,2751815,2018-01-12,204.300003,171.863434,2580146,2018-01-12,321.399994,306.414856,712539,2018-01-12,96.540001,93.139206,4474508,2018-01-12,37.68,34.590801,7727063,2018-01-12,158.25,148.759888,4499834
9,2018-01-15,224.600006,223.70367400000003,920120,2018-01-15,207.199997,203.238678,914705,2018-01-15,1084.0,1080.401367,294867,2018-01-15,177.399994,174.23556499999998,2423111,2018-01-15,288.292999,280.85943599999996,1989721,2018-01-15,250.897995,243.61103799999998,904875,2018-01-15,575.599976,572.558228,265313,2018-01-15,294.899994,279.799377,959741,2018-01-15,264.600006,250.328812,858433,2018-01-15,56.360001000000004,54.666737,4496497,2018-01-15,238.69999700000002,227.53421,1016508,2018-01-15,117.550003,114.65821799999999,509897,2018-01-15,459.0,457.9823,1857506,2018-01-15,160.440002,150.457275,5389223,2018-01-15,393.0,381.104462,721263,2018-01-15,272.89599599999997,265.425751,426368,2018-01-15,155.649994,152.098648,5002664,2018-01-15,87.239998,83.927025,2098329,2018-01-15,100.949997,88.676018,4596394,2018-01-15,146.100006,142.08902,920478,2018-01-15,115.400002,103.957634,3996400,2018-01-15,173.550003,151.421478,1017398,2018-01-15,192.75,179.626251,2463242,2018-01-15,48.34,45.475964000000005,1795336,2018-01-15,199.600006,167.909653,5926454,2018-01-15,323.399994,308.321625,384060,2018-01-15,97.139999,93.718071,3825311,2018-01-15,37.580002,34.499001,6955998,2018-01-15,159.850006,150.263947,4401645
